Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
"Jeremy Grocery Deli Corp",-73.897881,40.941364,"179 Warburton Ave","","Yonkers","NY","10701","2508","WESTCHESTER" 
"FIRST ON FIRST DELI",-73.946922,40.780182,"1756 1st Ave","","New York","NY","10128","5274","NEW YORK" 
"1976 J J DELI GROCERY CORP",-73.893051,40.846821,"1976 Arthur Ave","","Bronx","NY","10457","4702","BRONX" 
"H&J Vegetable & Grocery Inc.",-73.801773,40.762486,"3601 164th St","","Flushing","NY","11358","2003","QUEENS" 
"Mr. Moe's Deli And Pizza",-77.650429,43.193897,"758 Ridgeway Ave","","Rochester","NY","14615","3250","MONROE" 
"Crystal Grocery Ltd",-73.770615,41.025787,"14 E Post Rd","","White Plains","NY","10601","4604","WESTCHESTER" 
"East New York Grocery & Deli",-73.904411,40.675289,"1737 E New York Ave","","Brooklyn","NY","11212","8020","KINGS" 
"1361 Deli Grocery Corp",-73.925034,40.841595,"163 W 170 St","","Bronx","NY","10452","2568","BRONX" 
"Watkins Products Distributors LLC",-73.94397,40.807125,"46 W 125th St","","New York","NY","10027","4502","NEW YORK" 
"Harlem Naturally Inc",-73.957603,40.801418,"2053 Frederick Douglas Blvd","","New York","NY","10026","7902","NEW YORK" 
"Walden Convenient Store",-78.813942,42.904812,"599 Walden Ave","","Buffalo","NY","14211","2421","ERIE" 
"Price Chopper 207",-75.318527,43.08485,"4535 Commercial Dr","","New Hartford","NY","13413","6208","ONEIDA" 
"Jefferson Grocery",-77.629028,43.14463,"515 Jefferson Ave","","Rochester","NY","14611","3443","MONROE" 
"VZ Deli Grocery",-73.874802,40.830692,"1250A Morrison Ave","","Bronx","NY","10472","2702","BRONX" 
"Tejeda Deli Grocery",-73.862946,40.883057,"3764 White Plains Rd","","Bronx","NY","10467","5723","BRONX" 
"DOLLAR GENERAL 8427",-78.889893,42.915253,"315 W Ferry St","","Buffalo","NY","14213","1911","ERIE" 
"DOLLAR GENERAL 8373",-74.857582,43.043163,"522 Albany St","","Little Falls","NY","13365","1439","HERKIMER" 
"DOLLAR GENERAL 8443",-76.125664,43.569717,"4913 N Jefferson St","","Pulaski","NY","13142","4112","OSWEGO" 
"DOLLAR GENERAL 8440",-77.222565,43.062775,"604 E Main St","","Palmyra","NY","14522","1134","WAYNE" 
"DOLLAR GENERAL 8417",-79.040054,43.095158,"1802 Pine Ave","City Mkt Plz","Niagara Falls","NY","14301","2234","NIAGARA" 
"DOLLAR GENERAL 8488",-78.879272,43.020706,"29 Niagara St","Eckerd Plz","Tonawanda","NY","14150","","ERIE" 
"DOLLAR GENERAL 8493",-75.298439,43.076893,"1 New Hartford Shopping Ctr","F-4","New Hartford","NY","13413","2816","ONEIDA" 
"Lucky 7 Fish Market",-73.894676,40.846527,"563A E Tremont Ave","","Bronx","NY","10457","4601","BRONX" 
"Dahing Seafood Market Inc",-73.996941,40.718197,"127 Mott St","","New York","NY","10013","5512","NEW YORK" 
"New Orleans Mini Market LLC",-73.849136,40.842922,"2542 E Tremont Ave","","Bronx","NY","10461","2804","BRONX" 
"DOLLAR GENERAL 8559",-75.446953,43.219818,"810 Black River Blvd N","Black River Blvd Shop Center","Rome","NY","13440","","ONEIDA" 
"Central Yetev Lev D'Satmar Meat Inc",-73.95636,40.694511,"684 Myrtle Ave","","Brooklyn","NY","11205","3915","KINGS" 
"V & F FOOD INC",-73.833672,40.683716,"10802 Liberty Ave","","S Richmond Hl","NY","11419","1702","QUEENS" 
"STEWARTS SHOP 388",-76.523537,43.449711,"196 W Utica St","","Oswego","NY","13126","1948","OSWEGO" 
"NORTHERN CAKES",-73.505295,44.676384,"1290 Military Tpke","","Plattsburgh","NY","12901","7442","CLINTON" 
"DOLLAR GENERAL 9098",-74.985062,43.025684,"110 E State St","","Herkimer","NY","13350","2301","HERKIMER" 
"Valero Food Mart",-75.915993,43.97636,"262 Arsenal St","","Watertown","NY","13601","2504","JEFFERSON" 
"DOLLAR GENERAL 9488",-79.245171,42.105404,"1356 Washington St","","Jamestown","NY","14701","","CHAUTAUQUA" 
"DOLLAR GENERAL 8596",-76.416504,43.324192,"126 Cayuga St","","Fulton","NY","13069","1741","OSWEGO" 
"DOLLAR GENERAL 9030",-76.142044,42.978951,"6320 S Salina St","","Nedrow","NY","13120","1023","ONONDAGA" 
"DOLLAR GENERAL 6050",-78.572937,43.195477,"8405 Rochester Rd","","Gasport","NY","14067","9211","NIAGARA" 
"Dollar General 6065",-76.529343,42.00182,"575 Broad St","","Waverly","NY","14892","1504","TIOGA" 
"DOLLAR GENERAL 6067",-78.015411,42.209892,"4836 State Route 19 S","","Belmont","NY","14813","9506","ALLEGANY" 
"DOLLAR GENERAL 6294",-76.053726,42.098812,"225 Harrison Ave","","Endicott","NY","13760","5146","BROOME" 
"Dollar General 6337",-76.588425,42.920795,"343 W Genesee St","","Auburn","NY","13021","3157","CAYUGA" 
"DOLLAR GENERAL 6429",-76.82151,42.680756,"2173 State Route 96a","","Ovid","NY","14521","9707","SENECA" 
"DOLLAR  GENERAL 6014",-74.46315,44.227192,"14 Demars Blvd","","Tupper Lake","NY","12986","1461","FRANKLIN" 
"Fatima Grocery",-73.921425,40.650608,"5914 Snyder Ave","","Brooklyn","NY","11203","4818","KINGS" 
"Potomac Express Deli",-78.892494,42.923996,"188 Potomac Ave","","Buffalo","NY","14213","1151","ERIE" 
"Walmart Super Center 2210",-78.811607,42.980255,"3290 Sheridan Dr","","Buffalo","NY","14226","1422","ERIE" 
"WALMART 1997",-73.76651,42.751911,"579 TROY.SCHENECTADY RD","Latham Farms Shopping Plaza","LATHAM","NY","12110","","ALBANY" 
"WALMART 1744",-77.503029,43.191376,"1902 Empire Blvd","","Webster","NY","14580","1959","MONROE" 
"Wal-Mart SuperCenter 1806",-74.337112,43.07024,"329 S Kingsboro Ave","","Gloversville","NY","12078","4620","FULTON" 
"WALMART 2370",-73.640274,42.74649,"760 Hoosick Rd","","Troy","NY","12180","6627","RENSSELAER" 
"Dollar General 6107",-78.004105,42.978989,"3 West Ave","","Leroy","NY","14482","","GENESEE" 
"DOLLAR GENERAL 6386",-77.937569,43.218498,"50 N Main St","","Brockport","NY","14420","1906","MONROE" 
"DOLLAR GENERAL 8576",-73.901001,42.906948,"772 State Route 50","Route 50","Burnt Hills","NY","12027","9583","SARATOGA" 
